family,genus,species,status,updated_family,updated_genus,updated_species,occur_gbif_africa,occur_gbif_knp
Papilionidae,Papilio,dardanus,R,,,,5321,
Papilionidae,Papilio,constantinus,R,,,,396,
Papilionidae,Papilio,demodocus,C,,,,5456,
Papilionidae,Papilio,ophidicephalus entabeni,C,Papilionidae,Papilio,ophidicephalus,635,
Papilionidae,Papilio,morania,C,Papilionidae,Graphium,morania,253,
Pieridae,Catopsilia,florella,C,,,,2836,
Pieridae,Eurema,brigitta,C,,,,2213,
Pieridae,Eronia,cleodora,R,,,,1376,
Papilionidae,Papilio,nireus lyaeus,C,Papilionidae,Papilio,nireus Linnaeus,2422,
Papilionidae,Papilio,angolanus,C,Papilionidae,Graphium,angolanus,1540,
Pieridae,Colias,electo,C,,,,1224,
Pieridae,Eurema,hecabe,C,,,,1157,
Pieridae,Eurema,desijardinsii,U,,,,370,
Pieridae,Nepheronia,argia varia,C,Pieridae,Nepheronia,argia,853,
Pieridae,Nepheronia,buquetii,C,,,,815,
Pieridae,Nepheronia,thalassina,C,,,,618,
Pieridae,Colotis,calais,C,,,,147,
Pieridae,Colotis,vesta,C,,,,674,
Pieridae,Colotis,celimene amina,R,,,,120,
Pieridae,Colotis,ione,C,,,,1794,
Pieridae,Colotis,regina,C,,,,554,
Pieridae,Colotis,danae annae,C,Pieridae,Colotis,annae,1026,
Pieridae,Colotis,eucharis auxo,C,Pieridae,Colotis,eucharis,824,
Pieridae,Colotis,antevippe,C,,,,1622,
Pieridae,Colotis,evenina,C,,,,572,
Pieridae,Colotis,euippe omphale,C,,,,1478,
Pieridae,Colotis,pallene,C,,,,569,
Pieridae,Colotis,evagore antigone,C,,,,1242,
Pieridae,Colotis,eris,R,,,,674,
Pieridae,Colotis,subfasciatus,C,,,,273,
Pieridae,Belenois,thysa,R,,,,551,
Pieridae,Belenois,aurota,C,,,,3880,
Pieridae,Belenois,creona severina,C,,,,3440,
Pieridae,Belenois,gidica,C,,,,2009,
Pieridae,Dixeia,doxo parva,C,,,,158,
Pieridae,Dixeia,pigea,C,,,,803,
Pieridae,Dixeia,spilleri,C,,,,523,
Pieridae,Appias,epaphia orbono,R,Pieridae,Appias,epaphia,1052,
Pieridae,Mylothris,poppea haemus,R,,,,0,
Pieridae,Mylothris,chloris agathina,R,Pieridae,Mylothris,agathina,2303,
Lycaenidae,Alaena,amazoula,U,,,,522,
Lycaenidae,Lachnocnema,bibulus,C,,,,539,
Lycaenidae,Deudorix,dinochares,C,,,,505,
Lycaenidae,Deudorix,antalus,C,,,,904,
Lycaenidae,Myrina,silenus ficedula,R,,,,418,
Lycaenidae,Hypolycaena,philippus,C,,,,1458,
Lycaenidae,Iolaus,coeculus coeculus,C,Lycaenidae,Iolaus,coeculus,0,
Lycaenidae,Iolaus,bowkeri bowkeri,C,Lycaenidae,Stugeta,bowkeri,593,
Lycaenidae,Iolaus,pallene,R,Lycaenidae,Aphniolaus,pallene,199,
Lycaenidae,Iolaus,silas silas,R,Lycaenidae,Argiolaus,silas,455,
Lycaenidae,Iolaus,trimeni,R,Lycaenidae,lolaphilus,trimeni,0,
Lycaenidae,Iolaus,alienus,R,,,,129,
Lycaenidae,Iolaus,mimosae mimosae,R,Lycaenidae,Epamera,mimosae,181,
Lycaenidae,Paraphnaeus,hutchinsonii,R,,,,235,
Lycaenidae,Spindasis,phanes,R,Lycaenidae,Cigaritis,phanes,132,
Lycaenidae,Spindasis,natalensis,C,,,,579,
Lycaenidae,Spindasis,ella,C,,,,379,
Lycaenidae,Chloroselas,pseudozeritis,R,Lycaenidae,Aphnaeus,pseudozeritis,24,
Lycaenidae,Desmolycaena,mazoensis,R,,,,68,
Lycaenidae,Axiocerses,amanga amanga,C,,,,257,
Lycaenidae,Axiocerses,bambana,C,,,,189,
Lycaenidae,Leptomyrina,hirundo,R,,,,291,
Lycaenidae,Leptomyrina,gorgias,U,,,,437,
Lycaenidae,Aloeides,damarensis damarensis,C,Lycaenidae,Aloeides,damarensis,604,
Lycaenidae,Aloeides,taikosama,R,,,,380,
Lycaenidae,Crudaria,leroma leroma,C,Lycaenidae,Crudaria,leroma,517,
Lycaenidae,Anthene,amarah amarah,C,,,,736,
Lycaenidae,Anthene,definita definita,R,,,,682,
Lycaenidae,Anthene,liodes bihe,U,Lycaenidae,Anthene,liodes,1,
Lycaenidae,Anthene,princeps princeps,C,,,,111,
Lycaenidae,Anthene,millari,R,,,,97,
Lycaenidae,Anthene,contrastata contrastata,C,Lycaenidae,Anthene,contrastata,157,
Lycaenidae,Cacyreus,virilis,R,,,,226,
Lycaenidae,Cacyreus,marshalli,R,,,,1586,
Lycaenidae,Tarucus,sybaris sybaris,C,,,,491,
Lycaenidae,Castalius,hintza hintza,R,Lycaenidae,Zintha,hintza,443,
Lycaenidae,Castalius,melaena melaena,C,Lycaenidae,Castalius,melaena,607,
Lycaenidae,Azanus,mirza,R,,,,421,
Lycaenidae,Azanus,moriqua,C,,,,664,
Lycaenidae,Azanus,natalensis,R,,,,492,
Lycaenidae,Azanus,jesous jesous,C,Lycaenidae,Azanus,jesous,858,
Lycaenidae,Azanus,ubaldus,C,,,,399,
Lycaenidae,Pseudonacaduba,sichela,U,,,,348,
Lycaenidae,Actizera,lucida lucida,R,Lycaenidae,Actizera,lucida,779,
Lycaenidae,Syntarucus,pirithous,C,Lycaenidae,Leptotes,pirithous,1624,
Lycaenidae,Lampides,boeticus,C,,,,3324,
Lycaenidae,Lepidochrysops,glauca glauca,C,Lycaenidae,Lepidochrysops,glauca,199,
Lycaenidae,Lepidochrysops,patricia,C,,,,672,
Lycaenidae,Lepidochrysops,plebeia plebeia,R,,,,,
Lycaenidae,Euchrysops,malathana malathana,C,Lycaenidae,Euchrysops,malathana,867,
Lycaenidae,Euchrysops,dolorosa,C,,,,250,
Lycaenidae,Euchrysops,subpallida subpallida,R,Lycaenidae,Euchrysops,subpallida,241,
Lycaenidae,Euchrysops,osiris osiris,C,Lycaenidae,Euchrysops,osiris,173,
Lycaenidae,Euchrysops,barkeri,C,,,,652,
Lycaenidae,Freyeria,trochylus,C,,,,758,
Lycaenidae,Cupidopsis,iobates iobates,R,Lycaenidae,Cupidopsis,iobates,59,
Lycaenidae,Eicochrysops,hippocrates,C,,,,545,
Lycaenidae,Zizeeria,knysna,C,,,,4304,
Lycaenidae,Zizeeria,antanossa,U,Lycaenidae,Zizina,antanossa,386,
Lycaenidae,Zizula,hylax,U,,,,1139,
Nynphalidae,Danaus,chrysippus,C,,,,6823,
Nynphalidae,Amauris,niavius,R,,,,636,
Nynphalidae,Amauris,ochlea ochlea,R,,,,723,
Nynphalidae,Amauris,albimaculata albimaculata,R,,,,487,
Nynphalidae,Amauris,echeria echeria,R,,,,338,
Nynphalidae,Melanitis,leda africana,C,,,,,
Nynphalidae,Bicyclus,safitza,R,Nynphalidae,Mycalesis,rhacotis,2153,
Nynphalidae,Bicyclus,ena,C,Nynphalidae,Mycalesis,ena,110,
Nynphalidae,Bicyclus,anynana,C,Nynphalidae,Mycalesis,anynana,700,
Nynphalidae,Henotesia,perspicua,C,Nynphalidae,Heteropsis,perspicua,624,
Nynphalidae,Coenyra,hebe,C,,,,253,
Nynphalidae,Physcaeneura,panda,C,,,,429,
Nynphalidae,Coenyropsis,natalii,C,,,,160,
Nynphalidae,Ypthima,impura,R,,,,158,
Nynphalidae,Ypthima,asterope asterope,R,,,,201,
Nynphalidae,Bematistes,aganice aganice,R,Nynphalidae,Acraea,aganice aganice,523,
Nynphalidae,Acraea,terpsicore neobule,C,Nynphalidae,Acraea,terpsicore,341,
Nynphalidae,Acraea,machequena,R,,,,62,
Nynphalidae,Acraea,obeira burni,C,,,,69,
Nynphalidae,Acraea,rahira,R,,,,,
Nynphalidae,Acraea,eponina manjaca,C,Nynphalidae,Acraea,eponina,947,
Nynphalidae,Acraea,cabira cabira,R,Nynphalidae,Acraea,cabira,1086,
Nynphalidae,Acraea,esebria,U,,,,1765,
Nynphalidae,Acraea,encedon,C,,,,2035,
Nynphalidae,Acraea,natalica,C,,,,2094,
Nynphalidae,Acraea,caldarena,C,,,,718,
Nynphalidae,Acraea,oncaea,C,,,,1154,
Nynphalidae,Acraea,axina,C,,,,358,
Nynphalidae,Acraea,aglaonice,C,,,,469,
Nynphalidae,Acraea,zetes acara,C,,,,959,
Nynphalidae,Acraea,anemosa,R,,,,507,
Nynphalidae,Pardopsis,punctatissima,R,,,,594,
Nynphalidae,Lachnoptera,ayresii,R,,,,361,
Nynphalidae,Phalanta,aethiopica,C,Nynphalidae,Phalanta,Phalanta,924,
Nynphalidae,Pseudacraea,boisduvali trimeni,R,,,,,
Nynphalidae,Cynthia,cardui,C,Nynphalidae,Vanessa,cardui,5674,
Nynphalidae,Precis,orithya madagascariensis,C,Nynphalidae,Junonia,orithya madagascariensis,1018,
Nynphalidae,Precis,hierta cebrene,C,Nynphalidae,Junonia,cebrene,1901,
Nynphalidae,Precis,oenone oenone,C,Nynphalidae,Junonia,junonia,1698,
