taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
1751971	Psycharium pellucens Herrich-Schäffer, 1856	1751971	Psycharium pellucens Herrich-Schäffer, 1856	15	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Somabrachyidae	8867	Psycharium	1751969	Psycharium pellucens	1751971	NE
1754003	Chrysopoloma similis Aurivillius, 1895	1754003	Chrysopoloma similis Aurivillius, 1895	6	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Limacodidae	5474	Chrysopoloma	1753997	Chrysopoloma similis	1754003	NE
1767087	Parachalciope furcifera Hampson, 1902	1767092	Parachalciope euclidicola Walker, 1858	1	SPECIES	SYNONYM	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Erebidae	4532185	Parachalciope	9179883	Parachalciope euclidicola	1767092	NE
1787196	Athetis orbata Möschler, 1884	1787219	Athetis pigra Guenée, 1852	1	SPECIES	SYNONYM	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Noctuidae	7015	Athetis	1787107	Athetis pigra	1787219	NE
1787336	Athetis rufipuncta Hampson, 1902	1787336	Athetis rufipuncta Hampson, 1902	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Noctuidae	7015	Athetis	1787107	Athetis rufipuncta	1787336	NE
1813465	Galtara basifurca Walker, 1865	1813480	Galtara purata Walker, 1862	1	SPECIES	SYNONYM	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Erebidae	4532185	Galtara	9040198	Galtara purata	1813480	NE
1824933	Antheua anodonta Hampson, 1910	1824933	Antheua anodonta Hampson, 1910	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Notodontidae	7016	Antheua	1824925	Antheua anodonta	1824933	NE
1830413	Yponomeuta nigricola Meyrick, 1912	1830413	Yponomeuta nigricola Meyrick, 1912	17	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Yponomeutidae	8874	Yponomeuta	1830379	Yponomeuta nigricola	1830413	NE
1843845	Enscepastra plagiopa Meyrick, 1920	1843845	Enscepastra plagiopa Meyrick, 1920	3	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Coleophoridae	8838	Enscepastra	1843842	Enscepastra plagiopa	1843845	NE
1853658	Lytrophila sporarcha Meyrick, 1921	1853658	Lytrophila sporarcha Meyrick, 1921	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Psychidae	8861	Lytrophila	1853654	Lytrophila sporarcha	1853658	NE
1873118	Caustella phoenicias Hampson, 1930	1873118	Caustella phoenicias Hampson, 1930	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Pyralidae	5336	Caustella	1873117	Caustella phoenicias	1873118	NE
1879238	Pleuroptya aegrotalis Zeller, 1852	1879238	Pleuroptya aegrotalis Zeller, 1852	3	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Crambidae	8841	Pleuroptya	1879226	Pleuroptya aegrotalis	1879238	NE
1882032	Loxostege lacunalis Zeller, 1852	1882032	Loxostege lacunalis Zeller, 1852	3	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Crambidae	8841	Loxostege	1882028	Loxostege lacunalis	1882032	NE
1883197	Chilo argyropasta Hampson, 1919	1883197	Chilo argyropasta Hampson, 1919	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Crambidae	8841	Chilo	1883132	Chilo argyropasta	1883197	NE
1926698	Durbania Trimen, 1862	1926698	Durbania Trimen, 1862	125	GENUS	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Lycaenidae	5473	Durbania	1926698			NE
1927589	Lepidochrysops macgregori Pennington, 1970	1927589	Lepidochrysops macgregori Pennington, 1970	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Lycaenidae	5473	Lepidochrysops	1927521	Lepidochrysops macgregori	1927589	NE
1927940	Aloeides nollothi Tite & Dickson, 1977	1927940	Aloeides nollothi Tite & Dickson, 1977	135	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Lycaenidae	5473	Aloeides	1927916	Aloeides nollothi	1927940	LC
1937855	Papilio zalmoxis Hewitson, 1864	1937855	Papilio zalmoxis Hewitson, 1864	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Papilionidae	9417	Papilio	10175914	Papilio zalmoxis	1937855	NE
1948592	Kedestes marshallii Aurivillius, 1925	6204481	Kedestes lepenula marshallii Aurivillius, 1925	5	SPECIES	SYNONYM	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Hesperiidae	6953	Kedestes	1948587	Kedestes lepenula	1948591	NE
1953540	Epiplema Herrich-Schäffer, 1855	1953540	Epiplema Herrich-Schäffer, 1855	8	GENUS	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Uraniidae	8872	Epiplema	1953540			
1955838	Conchylia actena Prout, 1917	1955838	Conchylia actena Prout, 1917	3	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Geometridae	6950	Conchylia	1955823	Conchylia actena	1955838	NE
1977800	Zygophyxia stenoptila Prout, 1916	1977800	Zygophyxia stenoptila Prout, 1916	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Geometridae	6950	Zygophyxia	1977798	Zygophyxia stenoptila	1977800	NE
1987602	Heterorachis devocata (Walker, 1861)	1987602	Heterorachis devocata (Walker, 1861)	32	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Geometridae	6950	Heterorachis	8407240	Heterorachis devocata	1987602	NE
5125498	Bostra albilineata Warren, 1891	5125498	Bostra albilineata Warren, 1891	8	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Pyralidae	5336	Bostra	1872602	Bostra albilineata	5125498	NE
6113869	Eutricha albofasciata (Aurivillius, 1921)	6113868	Eutricha bifascia (Walker, 1855)	1	SPECIES	SYNONYM	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Lasiocampidae	3530	Eutricha	11760262	Eutricha bifascia	6113868	NE
